GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AUM001,AUU001,AU4001,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008,AVL001,AVL002,AVL003,AVL004,AVL005,AVL006,AVL007,AVL008,AVL009,AVL010,AVL011,AVL012,AVL013,AVL014,AVL015,AVL016,AVL017,AVL018,AVL019,AVL020,AVL021,AVL022,AVL023,AVL024,AVL025,AVL026,AVL027,AVL028,AVL029,AVL030,AVL031,AVL032,AVL033,AVL034,AVL035,AVL036,AVL037,AVL038,AVL039,AVL040,AVL041
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",13330,0,0,2342,2359,30,38,18,9,4188,4346,,,,,0,,,0,,,,,2,,1,12,,,,,4,1,,,,,,,,,1,,2,,,1,2,,0,,2
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",8941,0,0,2655,2597,148,150,91,37,1659,1604,,,,,4,,,9,,,,,17,,10,38,,,,,15,9,,,,,,,,,4,,3,,,5,1,,0,,17
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",34898,4394,0,5896,7200,130,143,52,33,10412,11032,,,,,0,,,1,,,,,11,,2,32,,,,,16,2,,,,,,,,,3,,10,,,0,2,,0,,9
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",13824,0,0,4177,4156,153,143,306,145,2486,2258,,,,,39,,,2,,,,,138,,8,19,,,,,41,19,,,,,,,,,6,,64,,,13,1,,89,,12
"G0100090","1890","Alabama","010","Blount","0090","Blount",21927,0,0,9963,9885,92,92,80,43,1041,731,,,,,0,,,3,,,,,12,,2,72,,,,,16,0,,,,,,,,,0,,5,,,0,4,,1,,8
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",27063,0,0,2930,3059,21,30,8,7,10322,10686,,,,,0,,,1,,,,,3,,1,3,,,,,0,0,,,,,,,,,0,,4,,,0,0,,0,,7
"G0100130","1890","Alabama","010","Butler","0130","Butler",21641,2806,0,5501,5700,39,47,31,8,5068,5247,,,,,2,,,1,,,,,3,,2,13,,,,,13,0,,,,,,,,,1,,3,,,0,0,,0,,2
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",33835,9998,0,11787,11202,284,240,280,154,5135,4753,,,,,1,,,34,,,,,175,,3,75,,,,,58,5,,,,,,,,,12,,35,,,7,4,,3,,27
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",26319,0,0,6108,6180,76,64,18,14,6811,7048,,,,,0,,,1,,,,,8,,0,9,,,,,11,0,,,,,,,,,2,,1,,,0,0,,0,,1
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",20459,0,0,8789,8735,56,43,29,4,1479,1324,,,,,0,,,4,,,,,6,,0,0,,,,,6,0,,,,,,,,,1,,6,,,1,0,,0,,9
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",14549,0,0,5777,5601,41,40,20,4,1594,1472,,,,,0,,,1,,,,,9,,0,7,,,,,6,0,,,,,,,,,0,,0,,,0,0,,0,,1
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",17526,0,0,4082,4020,41,44,18,4,4629,4688,,,,,0,,,2,,,,,6,,2,0,,,,,6,0,,,,,,,,,0,,3,,,3,0,,0,,0
