GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AWD001,AWD002,AWD003,AWD004,AWD005,AWD006,AWD007,AWD008,AWD009,AWD010,AWD011,AWD012,AWD013,AWD014,AWD015,AWD016,AWD017,AWD018,AWD019,AWD020,AWD021,AWD022,AWD023,AWD024,AWD025,AWD026,AWD027,AWD028,AWD029,AWD030,AWD031,AWD032,AWD033,AWD034,AWD035,AWD036,AWD037,AWD038,AWD039,AWD040,AWD041,AWD042,AWD043,AWD044,AWD045,AWD046,AWD047,AWD048,AWD049,AWD050,AWD051,AWD052,AWD053,AWD054,AWD055,AWD056,AWD057,AWD058,AWD059,AWD060,AV7001
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",,,,488,2757,,,,,,,,,,,29,20,,,,,,,,,,,,,,,,,,,,,1018,1220,,,959,,,,,,,,,159,30,,,,,,,,,6715
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",,,,346,404,,,,,441,,,,,,,50,,,,,,,,,111,,,,,,,,,,,149,150,1278,,,535,,,,,,,,,83,24,,,,,,,,,3571
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",,,,1952,1269,,,219,,57,,,,,,,,,,,,,,125,,,,,,,,,,,,,,2766,,,,1855,,,,,,,,,557,138,,,,,,,,,8938
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",,,,1753,2086,,,60,,401,,,,,,,12,,,,,,,,,,,,,,,,,,,,,395,1340,,,636,20,,,,195,,,,76,,,,,,,,,,6974
"G0100090","1890","Alabama","010","Blount","0090","Blount",30,,,1828,693,,,661,,31,,,,,,,50,,,,,,,,,,,,,110,,,,,,,1162,,,12,,1169,178,,,,333,,,,,,,,,,,,,,6371
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",,,,972,3728,,,45,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,244,2130,2049,,,947,152,,,,,,,,229,,,,,,,,,,10555
"G0100130","1890","Alabama","010","Butler","0130","Butler",,,,1461,2535,,,450,,22,,,,,,,121,,,,,,,,,122,,,,,,,,,,,,601,3382,128,,1419,40,,,,,,,,114,83,,,,,,,,82,10710
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",,,,3759,2513,,,69,72,463,,,,,,102,246,,,,,,,,,,,27,,,,,,,,,315,341,495,,,2774,685,,,7,117,,,,439,542,,,,,,,,,13126
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",,,,2004,3073,,,501,,11,,,,,,,104,,,,,,,,,,,,,,,,,,,,400,350,,6,,1824,770,,,,,,,,185,,,,,,,,,,9774
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",164,,,2360,919,,,18,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,327,188,,,1650,,,,,244,,,,107,,,,,,,,,,6894
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",,,,2182,1897,,,51,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,299,96,346,,464,,,,,40,,,,22,,,,,,,,,,5447
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",,,,989,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,250,2479,,,1431,400,,,,,,,,32,,,,,,,,,,7739
"G0100250","1890","Alabama","010","Clarke","0250","Clarke",,,,1961,1168,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,523,930,,,964,625,,,,,,,,18,,,,,,,,,,6235
"G0100270","1890","Alabama","010","Clay","0270","Clay",,,,2708,25,,,343,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,571,,,66,,993,,,,,,,,,180,,,,,,,,,,5272
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne",,,,2074,366,,,255,10,,,,,,,60,188,,,,,,,,,,,48,,,,,,,,,716,221,,,,471,,,,,,,,,,,,,,,,,,,4905
